DonationID,ParticipantEmail,DonationDate,DonationAmount,DonationNumber
535,victoria.johnson852@ellarises.org,2/14/26,22.95,4
536,avery.smith854@community.org,2/15/26,262.14,1
537,grace.gonzalez855@learners.net,,150.15,1
538,lucy.king864@learners.net,11/9/24,212.5,1
539,lily.robinson866@community.org,12/5/25,202.37,1
540,alexander.robinson867@community.org,8/31/26,152.04,1
541,alexander.robinson867@community.org,,451.88,2
542,hannah.nguyen869@ellarises.org,7/19/26,146.3,1
543,addison.young870@ellarises.org,,1074.62,1
544,aurora.martinez875@ellarises.org,5/2/26,225.91,1
545,elijah.garcia877@community.org,,253.77,1
546,elijah.garcia877@community.org,8/4/25,170.2,2
547,elijah.garcia877@community.org,,154.9,3
548,elijah.garcia877@community.org,12/31/24,105.19,4
549,mia.allen878@learners.net,,105.38,1
550,mia.allen878@learners.net,,149.53,2
551,addison.gonzalez891@learners.net,,271.73,1
552,emma.hernandez895@learners.net,7/7/26,213.1,1
553,isabella.jones900@learners.net,,25.93,1
554,daniel.hill902@ellarises.org,,893.38,1
555,daniel.hill902@ellarises.org,,251.09,2
556,mila.scott903@ellarises.org,6/15/25,48.42,1
557,addison.martinez907@community.org,7/12/25,256.36,1
558,harper.garcia909@learners.net,,19.91,1
559,brooklyn.lee911@learners.net,10/1/26,247.2,1
560,brooklyn.lee911@learners.net,1/31/27,56.14,2
561,liam.lewis912@studentmail.org,,199.5,1
562,liam.lewis912@studentmail.org,12/7/25,432.2,2
563,hannah.garcia914@learners.net,,185.81,1
564,lucy.thomas915@learners.net,3/4/26,211.75,1
565,brooklyn.jackson918@studentmail.org,10/25/26,486.6,1
566,zoey.white919@community.org,,49.84,1
567,amelia.ramirez920@studentmail.org,10/21/25,54.69,1
568,zoe.martin925@learners.net,,48.52,1
569,oliver.brown926@learners.net,4/25/26,69.81,1
570,oliver.brown926@learners.net,,522.81,2
571,kennedy.jones927@ellarises.org,,193.18,1
572,leah.walker928@studentmail.org,,918.48,1
573,leah.walker928@studentmail.org,3/7/27,197.11,2
574,leah.walker928@studentmail.org,10/9/26,218.22,3
575,henry.moore930@ellarises.org,7/23/25,283.51,1
576,avery.wright932@studentmail.org,2/1/25,240.19,1
577,elizabeth.thomas940@studentmail.org,10/28/26,26.18,1
578,mateo.wilson941@studentmail.org,12/26/26,948.14,1
579,mateo.wilson941@studentmail.org,11/9/26,214.74,2
580,mateo.wilson941@studentmail.org,6/19/26,105.26,3
581,hannah.nguyen944@learners.net,1/7/26,36.83,1
582,mateo.lee946@learners.net,6/30/26,97.09,1
583,mateo.lee946@learners.net,6/12/26,488.74,2
584,mateo.lee946@learners.net,7/24/26,289.1,3
585,camila.smith948@community.org,5/31/26,440.95,1
586,alexander.sanchez949@ellarises.org,9/25/26,99.36,1
587,leah.hill950@learners.net,,233.24,1
588,leah.hill950@learners.net,8/19/26,75.19,2
589,leah.hill950@learners.net,2/4/26,74.82,3
590,leah.hill950@learners.net,3/5/27,239.42,4
591,mateo.young954@studentmail.org,,1077.6,1
592,mateo.young954@studentmail.org,,73.7,2
593,mateo.young954@studentmail.org,,137.72,3
594,harper.rodriguez955@learners.net,11/9/26,529.28,1
595,harper.rodriguez955@learners.net,12/24/26,268.66,2
596,sophia.anderson959@community.org,,48.41,1
597,sophia.anderson959@community.org,,290.34,2
598,sophia.anderson959@community.org,3/21/27,61.99,3
599,jack.thomas961@learners.net,9/11/25,61.8,1
600,amelia.scott964@ellarises.org,,425.65,1
601,amelia.scott964@ellarises.org,10/28/26,96.99,2
602,madison.hill965@ellarises.org,2/27/27,909.04,1
603,violet.johnson966@community.org,,26.44,1
604,violet.johnson966@community.org,9/9/26,75.45,2
605,henry.lopez968@studentmail.org,9/30/25,88.96,1
606,henry.lopez968@studentmail.org,9/16/25,551.11,2
607,william.allen969@learners.net,,294.52,1
608,charlotte.ramirez971@learners.net,12/11/25,116.5,1
609,hannah.thomas974@community.org,,75.89,1
610,hannah.thomas974@community.org,,98.85,2
611,lucy.lopez977@learners.net,,64.66,1
612,addison.williams981@studentmail.org,3/26/25,947.18,1
613,zoe.king984@community.org,7/31/26,74.58,1
614,leah.torres986@studentmail.org,3/28/27,50.96,1
615,savannah.lewis987@learners.net,8/16/26,212.8,1
616,savannah.allen990@ellarises.org,1/25/26,204.4,1
617,violet.garcia995@learners.net,10/18/25,187.09,1
618,sophia.white996@studentmail.org,10/31/26,75.26,1
619,claire.nguyen998@ellarises.org,4/4/26,100.67,1
620,james.harris999@studentmail.org,6/30/26,81.9,1
621,skylar.torres1000@community.org,,25.19,1
622,noah.sanchez1003@studentmail.org,8/30/25,164.81,1
623,hazel.wilson1004@studentmail.org,6/9/26,44.4,1
624,bella.nguyen1005@studentmail.org,3/19/26,246.45,1
625,alexander.robinson1007@community.org,1/2/27,238.04,1
626,avery.white1011@ellarises.org,8/28/25,23.81,1
627,henry.rodriguez1015@community.org,9/17/26,789.34,1
628,henry.rodriguez1015@community.org,,142.24,2
629,henry.rodriguez1015@community.org,8/12/25,70.78,3
630,charlotte.king1018@ellarises.org,,1096.07,1
631,charlotte.harris1019@studentmail.org,11/17/25,512.71,1
632,sophia.smith1020@learners.net,10/20/25,53.21,1
633,stella.lee1023@studentmail.org,3/16/27,143.33,1
634,benjamin.anderson1024@ellarises.org,2/22/26,168.1,1
635,claire.harris1026@studentmail.org,4/7/26,905.66,1
636,claire.harris1026@studentmail.org,,26.53,2
637,michael.clark1031@learners.net,6/20/26,38.61,1
638,michael.clark1031@learners.net,8/1/26,272.66,2
639,ethan.brown1032@studentmail.org,,210.99,1
640,sofia.garcia1034@studentmail.org,5/22/27,52.81,1
641,bella.hernandez1035@studentmail.org,1/5/26,28.27,1
642,henry.ramirez1037@community.org,,110.52,1
643,brooklyn.hill1038@studentmail.org,12/6/25,540.01,1
644,brooklyn.hill1038@studentmail.org,10/22/26,124.69,2
645,ava.smith1040@learners.net,,51.09,1
646,zoe.brown1043@community.org,12/14/26,46.67,1
647,zoe.brown1043@community.org,,982.25,2
648,zoe.brown1043@community.org,7/22/26,51.47,3
649,leah.davis1053@learners.net,1/24/27,24.56,1
650,leah.davis1053@learners.net,8/8/26,73.13,2
651,elizabeth.smith1054@ellarises.org,9/22/26,185.64,1
652,ava.harris1055@learners.net,7/2/27,208.1,1
653,stella.perez1057@ellarises.org,,198.99,1
654,stella.perez1057@ellarises.org,,499.98,2
655,kennedy.ramirez1061@community.org,3/21/26,487.86,1
656,aria.king1062@ellarises.org,,143.03,1
657,chloe.lewis1063@ellarises.org,8/11/27,55.28,1
658,chloe.lewis1063@ellarises.org,7/28/26,178.16,2
659,eleanor.walker1065@ellarises.org,5/6/26,229.69,1
660,eleanor.walker1065@ellarises.org,9/22/25,54.28,2
661,eleanor.walker1065@ellarises.org,4/26/26,1153.29,3
662,william.anderson1067@studentmail.org,,269.73,1
663,savannah.anderson1071@community.org,5/10/26,41.81,1
664,isabella.hill1072@learners.net,,79.68,1
665,grace.anderson1074@ellarises.org,7/26/27,26.79,1
666,grace.anderson1074@ellarises.org,2/28/26,1107.05,2
667,lily.johnson1075@community.org,11/2/25,97.45,1
668,lily.johnson1075@community.org,,177.93,2
669,jack.lopez1080@ellarises.org,,1046.29,1
670,daniel.anderson1084@ellarises.org,12/29/26,86.04,1
671,riley.sanchez1086@ellarises.org,,156.89,1
672,riley.sanchez1086@ellarises.org,3/14/26,200.23,2
673,elizabeth.williams1092@studentmail.org,,170.79,1
674,aria.wright1095@studentmail.org,,973.59,1
675,addison.jones1097@learners.net,6/7/26,155.95,1
676,victoria.harris1099@ellarises.org,7/28/27,24.45,1
677,elizabeth.king1100@learners.net,4/15/27,1090.42,1
678,hazel.lopez1101@learners.net,10/14/27,457,1
679,hazel.lopez1101@learners.net,12/25/25,40.17,2
680,hazel.lopez1101@learners.net,11/15/26,45.33,3
681,daniel.martinez1102@studentmail.org,7/16/26,196.37,1
682,aurora.scott1106@community.org,2/17/26,28.98,1
683,aurora.scott1106@community.org,9/9/26,143.75,2
684,elijah.wright1108@learners.net,,176.58,1
685,elijah.young1110@community.org,,970.78,1
686,avery.jackson1111@learners.net,,431.92,1
687,amelia.thompson1113@ellarises.org,2/26/27,235.97,1
688,riley.sanchez1114@learners.net,,552.31,1
689,william.smith1118@learners.net,4/30/27,264.67,1
690,hazel.rodriguez1121@ellarises.org,10/15/27,20.32,1
691,olivia.thomas1122@ellarises.org,,150.76,1
692,olivia.thomas1122@ellarises.org,7/4/26,194.87,2
693,olivia.thomas1122@ellarises.org,2/25/27,175.44,3
694,olivia.thomas1122@ellarises.org,4/11/26,215.94,4
695,emily.brown1127@community.org,8/4/27,41.34,1
696,nora.wright1135@studentmail.org,,27.14,1
697,zoey.sanchez1138@community.org,,61.76,1
698,zoey.sanchez1138@community.org,4/7/26,412.4,2
699,savannah.moore1141@ellarises.org,,169.64,1
700,aria.moore1142@studentmail.org,,1116.07,1
701,james.hill1149@studentmail.org,,228.19,1
702,james.hill1149@studentmail.org,,506.27,2
703,james.hill1149@studentmail.org,4/10/27,26.52,3
704,james.hill1149@studentmail.org,10/11/27,77.45,4
705,liam.miller1150@studentmail.org,,1044.94,1
706,olivia.williams1151@studentmail.org,,140.4,1
707,olivia.smith1152@ellarises.org,5/26/27,149.46,1
708,henry.hernandez1153@learners.net,6/3/26,72.85,1
709,henry.hernandez1153@learners.net,,106.93,2
710,henry.hernandez1153@learners.net,,571.63,3
711,daniel.clark1155@studentmail.org,8/19/27,948.18,1
712,aria.thompson1156@learners.net,4/5/26,22.65,1
713,ella.young1157@studentmail.org,,70.24,1
714,skylar.rodriguez1164@studentmail.org,,1213.23,1
715,skylar.rodriguez1164@studentmail.org,,49.13,2
716,skylar.rodriguez1164@studentmail.org,4/22/27,48.24,3
717,camila.davis1167@ellarises.org,10/16/27,78.12,1
718,camila.davis1167@ellarises.org,,79.42,2
719,oliver.thomas1168@studentmail.org,,111.73,1
720,oliver.thomas1168@studentmail.org,3/14/26,141.54,2
721,oliver.thomas1168@studentmail.org,,85.04,3
722,oliver.thomas1168@studentmail.org,6/29/27,86.38,4
723,aria.harris1169@ellarises.org,10/29/27,44.34,1
724,olivia.torres1171@community.org,,85.74,1
725,mason.martin1172@community.org,12/25/26,26.98,1
726,mason.martin1172@community.org,8/25/27,23.91,2
727,mateo.martin1175@studentmail.org,,90.19,1
728,ella.johnson0@learners.net,,220.55,1
729,ella.johnson0@learners.net,,1022.13,2
730,mateo.hill2@ellarises.org,,287.21,1
731,lucy.williams5@community.org,,542.21,1
732,lucy.williams5@community.org,10/18/22,109.98,2
733,nora.white49@community.org,1/14/24,106.98,1
734,charlotte.martinez87@studentmail.org,,135.8,1
735,charlotte.martinez87@studentmail.org,4/16/23,940.55,2
736,charlotte.martinez87@studentmail.org,4/25/22,539.39,3
737,charlotte.martinez87@studentmail.org,4/21/22,1072.06,4
738,chloe.hernandez209@learners.net,1/30/23,1083.31,1
739,chloe.hernandez209@learners.net,8/17/23,1115.52,2
740,chloe.hernandez209@learners.net,,251.89,3
741,benjamin.hill249@learners.net,,22,1
742,sofia.gonzalez372@community.org,,223.34,1
743,aaliyah.smith456@studentmail.org,11/5/24,99.87,1
744,aaliyah.smith456@studentmail.org,12/12/24,24.19,2
745,aaliyah.smith456@studentmail.org,12/24/24,178.85,3
746,aaliyah.smith456@studentmail.org,1/10/25,1157.4,4
747,charlotte.lopez491@learners.net,,548.72,1
748,charlotte.lopez491@learners.net,1/3/25,179.35,2
749,victoria.anderson542@learners.net,,23.4,1
750,victoria.anderson542@learners.net,6/25/24,26.08,2
751,sofia.allen682@ellarises.org,,841.2,1
752,sofia.allen682@ellarises.org,5/8/25,923.08,2
753,oliver.hernandez922@studentmail.org,10/21/26,87.14,1
754,oliver.hernandez922@studentmail.org,12/23/26,148.43,2
755,stella.perez997@studentmail.org,1/14/26,179.22,1
756,claire.robinson1014@community.org,4/19/27,75.43,1
757,chloe.hernandez1021@ellarises.org,,49.26,1
758,abigail.king1046@studentmail.org,6/27/27,167.12,1
759,abigail.king1046@studentmail.org,,205.84,2
760,lucy.clark1052@community.org,,149.61,1
761,jack.allen1059@community.org,5/16/27,479.45,1
762,jack.allen1059@community.org,10/7/25,161.55,2
763,zoey.davis1068@learners.net,2/13/26,114.75,1
764,zoey.davis1068@learners.net,7/10/27,1213.65,2
765,hannah.nguyen1140@ellarises.org,,136.74,1
766,hannah.nguyen1140@ellarises.org,10/23/25,104.3,2
767,hannah.nguyen1140@ellarises.org,,893.88,3
