ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPassword,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,TotalDonations
penelope.rodriguez210@learners.net,Penelope,Rodriguez,4/11/11 0:00,participant,participant123,801-856-3762,Ogden,UT,84515,Local Library,STEM,728.92
chloe.flores211@learners.net,Chloe,Flores,1/8/99 0:00,participant,participant123,801-229-2330,Provo,UT,84846,Tech Apprenticeship,Both,
lucy.wilson212@community.org,Lucy,Wilson,6/30/04 0:00,participant,participant123,801-842-9938,Salt Lake City,UT,84510,Tech Apprenticeship,Arts,
levi.thomas213@community.org,Levi,Thomas,7/18/01 0:00,participant,participant123,801-274-1981,Murray,UT,84465,Mountain View High,Arts,112.63
levi.robinson214@studentmail.org,Levi,Robinson,2/10/14 0:00,participant,participant123,801-347-6121,Lehi,UT,84622,UVU,Both,1083.59
kennedy.sanchez215@studentmail.org,Kennedy,Sanchez,2/27/05 0:00,participant,participant123,801-775-2739,Draper,UT,84528,Valley Charter,Arts,
avery.moore216@community.org,Avery,Moore,7/5/04 0:00,participant,participant123,801-299-1829,West Jordan,UT,84145,SLCC,Both,653.37
oliver.thomas217@studentmail.org,Oliver,Thomas,4/5/02 0:00,participant,participant123,801-791-6123,Lehi,UT,84957,Retail Store,STEM,
jackson.allen218@community.org,Jackson,Allen,7/9/98 0:00,participant,participant123,801-515-9148,Spanish Fork,UT,84901,East Ridge Middle,Arts,
mateo.robinson219@studentmail.org,Mateo,Robinson,2/19/99 0:00,participant,participant123,801-561-1797,Sandy,UT,84598,BYU,Arts,58.85
jack.jackson220@ellarises.org,Jack,Jackson,4/26/14 0:00,participant,participant123,801-337-5333,Logan,UT,84442,UVU,Arts,
natalie.williams221@community.org,Natalie,Williams,2/17/06 0:00,participant,participant123,801-775-4189,Provo,UT,84584,Cafe Rio,Arts,185.01
evelyn.harris222@community.org,Evelyn,Harris,11/20/00 0:00,participant,participant123,801-838-2946,Layton,UT,84846,East Ridge Middle,Arts,113.29
zoe.perez223@learners.net,Zoe,Perez,1/2/07 0:00,participant,participant123,801-816-9341,St. George,UT,84204,Cafe Rio,STEM,
mia.williams224@studentmail.org,Mia,Williams,4/1/08 0:00,participant,participant123,801-685-9508,Lehi,UT,84824,North Summit High,Both,
daniel.rodriguez225@learners.net,Daniel,Rodriguez,4/26/11 0:00,participant,participant123,801-602-5902,Lehi,UT,84167,UVU,Both,
daniel.wright226@community.org,Daniel,Wright,6/6/05 0:00,participant,participant123,801-217-7035,Murray,UT,84487,Tech Apprenticeship,STEM,115.62
oliver.nguyen227@learners.net,Oliver,Nguyen,9/14/12 0:00,participant,participant123,801-685-5350,Salt Lake City,UT,84612,Retail Store,Both,
madison.brown228@community.org,Madison,Brown,4/25/01 0:00,participant,participant123,801-844-7229,Orem,UT,84537,Community Center,Both,308.81
addison.williams229@ellarises.org,Addison,Williams,5/24/07 0:00,participant,participant123,801-651-6139,Sandy,UT,84020,North Summit High,Arts,78.58
grace.clark230@community.org,Grace,Clark,8/26/02 0:00,participant,participant123,801-341-9498,Provo,UT,84723,Cafe Rio,Arts,229.34
levi.king231@community.org,Levi,King,12/16/09 0:00,participant,participant123,801-377-8531,Lehi,UT,84980,UVU,Both,
stella.taylor232@community.org,Stella,Taylor,7/8/10 0:00,participant,participant123,801-452-5571,Sandy,UT,84981,BYU,STEM,
brooklyn.jackson233@studentmail.org,Brooklyn,Jackson,7/28/10 0:00,participant,participant123,801-691-6714,Spanish Fork,UT,84325,Startup Lab,Both,26.86
penelope.jackson234@ellarises.org,Penelope,Jackson,4/14/01 0:00,participant,participant123,801-604-6654,Bountiful,UT,84918,BYU,STEM,
aurora.garcia235@learners.net,Aurora,Garcia,10/19/02 0:00,participant,participant123,801-462-8849,Riverton,UT,84672,Valley Charter,Both,
paisley.scott236@learners.net,Paisley,Scott,6/10/03 0:00,participant,participant123,801-830-4920,St. George,UT,84112,Westview High,Both,155.08
mason.anderson237@studentmail.org,Mason,Anderson,2/2/14 0:00,participant,participant123,801-623-6411,Provo,UT,84103,Mountain View High,STEM,23.13
camila.smith238@studentmail.org,Camila,Smith,8/4/12 0:00,participant,participant123,801-687-8822,Taylorsville,UT,84669,Valley Charter,Arts,
claire.jackson239@ellarises.org,Claire,Jackson,1/1/10 0:00,participant,participant123,801-787-4804,Ogden,UT,84668,Art Studio,Both,
isabella.lopez240@community.org,Isabella,Lopez,2/10/09 0:00,participant,participant123,801-237-7504,Orem,UT,84957,North Summit High,Both,252.76
savannah.williams241@ellarises.org,Savannah,Williams,7/7/05 0:00,participant,participant123,801-817-2758,Murray,UT,84582,BYU,Arts,
ethan.king242@community.org,Ethan,King,2/14/04 0:00,participant,participant123,801-716-8668,St. George,UT,84872,Valley Charter,STEM,
skylar.hernandez243@community.org,Skylar,Hernandez,7/10/14 0:00,participant,participant123,801-390-1230,Layton,UT,84736,UVU,Arts,
zoey.lopez244@community.org,Zoey,Lopez,12/28/06 0:00,participant,participant123,801-535-2421,Taylorsville,UT,84528,Tech Apprenticeship,STEM,
riley.rodriguez245@community.org,Riley,Rodriguez,11/7/03 0:00,participant,participant123,801-454-1111,Lehi,UT,84959,SLCC,STEM,71.16
lucas.moore246@learners.net,Lucas,Moore,11/13/03 0:00,participant,participant123,801-940-1187,Murray,UT,84597,Tech Apprenticeship,Arts,
lillian.brown247@ellarises.org,Lillian,Brown,5/22/13 0:00,participant,participant123,801-363-7642,Riverton,UT,84315,Cafe Rio,Both,
bella.davis248@learners.net,Bella,Davis,12/30/00 0:00,participant,participant123,801-426-4590,Draper,UT,84630,Mountain View High,STEM,
hannah.thomas250@ellarises.org,Hannah,Thomas,10/2/99 0:00,participant,participant123,801-740-6927,Pleasant Grove,UT,84458,Startup Lab,Both,26.38
ella.brown251@studentmail.org,Ella,Brown,11/29/07 0:00,participant,participant123,801-535-9525,St. George,UT,84169,East Ridge Middle,Both,167.83
grace.nguyen252@community.org,Grace,Nguyen,4/1/99 0:00,participant,participant123,801-722-8298,Ogden,UT,84921,Mountain View High,STEM,210.88
daniel.clark253@community.org,Daniel,Clark,3/23/14 0:00,participant,participant123,801-673-6049,Provo,UT,84573,Westview High,Arts,53.68
eleanor.smith254@studentmail.org,Eleanor,Smith,9/16/13 0:00,participant,participant123,801-633-6644,Ogden,UT,84047,East Ridge Middle,Both,
amelia.jones255@community.org,Amelia,Jones,1/14/01 0:00,participant,participant123,801-618-3948,Provo,UT,84294,Retail Store,Both,67.82
oliver.white256@community.org,Oliver,White,10/20/99 0:00,participant,participant123,801-586-7154,Riverton,UT,84891,Tech Apprenticeship,Both,65.14
ethan.rodriguez257@learners.net,Ethan,Rodriguez,11/11/09 0:00,participant,participant123,801-750-7439,Logan,UT,84183,North Summit High,Both,
victoria.smith258@ellarises.org,Victoria,Smith,7/7/07 0:00,participant,participant123,801-889-9920,Murray,UT,84475,Cafe Rio,Arts,1023.22
madison.thomas259@community.org,Madison,Thomas,4/6/14 0:00,participant,participant123,801-482-4088,Draper,UT,84159,Retail Store,STEM,698.45
isabella.clark260@ellarises.org,Isabella,Clark,4/28/11 0:00,participant,participant123,801-268-2653,West Jordan,UT,84212,Westview High,Arts,
charlotte.thomas261@ellarises.org,Charlotte,Thomas,11/15/02 0:00,participant,participant123,801-439-9843,Bountiful,UT,84450,Retail Store,STEM,
camila.allen262@learners.net,Camila,Allen,12/14/10 0:00,participant,participant123,801-949-6224,West Jordan,UT,84836,Local Library,Both,267.54
claire.thomas263@learners.net,Claire,Thomas,4/11/07 0:00,participant,participant123,801-733-4621,St. George,UT,84677,BYU,Arts,
amelia.scott264@studentmail.org,Amelia,Scott,9/22/05 0:00,participant,participant123,801-707-1768,Taylorsville,UT,84570,Tech Apprenticeship,Both,
leah.king265@learners.net,Leah,King,6/11/06 0:00,participant,participant123,801-352-5913,Taylorsville,UT,84419,North Summit High,Both,
jack.thomas266@studentmail.org,Jack,Thomas,5/21/08 0:00,participant,participant123,801-924-3365,Murray,UT,84879,Startup Lab,STEM,78.74
noah.clark267@studentmail.org,Noah,Clark,5/29/05 0:00,participant,participant123,801-461-4331,Bountiful,UT,84249,Tech Apprenticeship,STEM,
lucas.white268@ellarises.org,Lucas,White,2/9/13 0:00,participant,participant123,801-474-7179,Sandy,UT,84053,Local Library,Both,78.37
mia.jones269@studentmail.org,Mia,Jones,10/19/04 0:00,participant,participant123,801-413-6455,Sandy,UT,84491,Startup Lab,STEM,82.07
hannah.gonzalez270@ellarises.org,Hannah,Gonzalez,11/24/06 0:00,participant,participant123,801-448-4350,Spanish Fork,UT,84937,Startup Lab,STEM,
claire.jackson271@community.org,Claire,Jackson,12/1/04 0:00,participant,participant123,801-864-6886,Riverton,UT,84547,BYU,Arts,780.16
daniel.young272@community.org,Daniel,Young,3/8/05 0:00,participant,participant123,801-939-8692,Logan,UT,84823,Startup Lab,STEM,312.13
zoe.lee273@community.org,Zoe,Lee,5/13/98 0:00,participant,participant123,801-426-3390,Provo,UT,84577,BYU,Both,211.45
oliver.jackson274@studentmail.org,Oliver,Jackson,10/12/10 0:00,participant,participant123,801-435-7223,Sandy,UT,84338,Community Center,STEM,
jackson.scott275@learners.net,Jackson,Scott,5/3/08 0:00,participant,participant123,801-700-9037,Layton,UT,84782,North Summit High,Both,
stella.hernandez276@studentmail.org,Stella,Hernandez,10/2/09 0:00,participant,participant123,801-755-1962,Spanish Fork,UT,84189,Westview High,STEM,
charlotte.smith277@community.org,Charlotte,Smith,7/11/99 0:00,participant,participant123,801-845-4791,St. George,UT,84863,Art Studio,STEM,447.54
olivia.wilson278@community.org,Olivia,Wilson,10/14/12 0:00,participant,participant123,801-832-8916,Draper,UT,84062,Mountain View High,STEM,155.18
ava.wright279@community.org,Ava,Wright,1/6/10 0:00,participant,participant123,801-742-5501,Salt Lake City,UT,84018,BYU,STEM,498.43
mateo.ramirez280@studentmail.org,Mateo,Ramirez,5/4/01 0:00,participant,participant123,801-298-9591,Logan,UT,84941,Valley Charter,STEM,70.88
mason.taylor281@learners.net,Mason,Taylor,5/15/06 0:00,participant,participant123,801-606-2294,Layton,UT,84815,SLCC,Arts,
addison.anderson282@learners.net,Addison,Anderson,2/5/00 0:00,participant,participant123,801-865-1519,Ogden,UT,84670,SLCC,Arts,
leah.scott283@community.org,Leah,Scott,11/9/99 0:00,participant,participant123,801-209-3807,Provo,UT,84653,Mountain View High,Arts,417.96
skylar.torres284@ellarises.org,Skylar,Torres,9/28/02 0:00,participant,participant123,801-243-4764,Pleasant Grove,UT,84942,Startup Lab,Both,
jack.moore285@ellarises.org,Jack,Moore,8/22/10 0:00,participant,participant123,801-487-9897,Ogden,UT,84701,Tech Apprenticeship,STEM,232.61
layla.lee286@ellarises.org,Layla,Lee,9/23/99 0:00,participant,participant123,801-347-7525,Sandy,UT,84602,BYU,STEM,438.31
lillian.torres287@community.org,Lillian,Torres,6/17/13 0:00,participant,participant123,801-973-3292,Lehi,UT,84394,Art Studio,STEM,45.9
mateo.thompson288@ellarises.org,Mateo,Thompson,8/22/05 0:00,participant,participant123,801-437-2245,Logan,UT,84448,Local Library,Both,1273.43
james.lee289@ellarises.org,James,Lee,2/12/03 0:00,participant,participant123,801-661-9038,Layton,UT,84803,UVU,Both,23.86
leah.ramirez290@studentmail.org,Leah,Ramirez,7/12/03 0:00,participant,participant123,801-990-5839,Bountiful,UT,84088,Art Studio,STEM,155.32
abigail.moore291@studentmail.org,Abigail,Moore,8/4/14 0:00,participant,participant123,801-849-3527,Bountiful,UT,84729,SLCC,Arts,225.53
natalie.miller292@ellarises.org,Natalie,Miller,1/27/06 0:00,participant,participant123,801-515-8286,Salt Lake City,UT,84966,Retail Store,Arts,
mila.rodriguez293@ellarises.org,Mila,Rodriguez,2/25/07 0:00,participant,participant123,801-659-9395,Orem,UT,84442,East Ridge Middle,STEM,
emily.thompson294@ellarises.org,Emily,Thompson,7/18/04 0:00,participant,participant123,801-594-1202,Lehi,UT,84885,SLCC,Arts,455.51
abigail.scott295@studentmail.org,Abigail,Scott,10/20/01 0:00,participant,participant123,801-901-7237,Pleasant Grove,UT,84174,North Summit High,Arts,
brooklyn.moore296@community.org,Brooklyn,Moore,3/10/04 0:00,participant,participant123,801-371-8121,St. George,UT,84065,SLCC,Arts,
levi.jones297@learners.net,Levi,Jones,4/27/11 0:00,participant,participant123,801-452-9123,Layton,UT,84967,Local Library,STEM,
benjamin.miller298@studentmail.org,Benjamin,Miller,11/29/11 0:00,participant,participant123,801-605-6443,Murray,UT,84007,SLCC,Arts,
henry.perez299@community.org,Henry,Perez,9/29/08 0:00,participant,participant123,801-528-4290,St. George,UT,84308,UVU,STEM,82.53
james.lee300@learners.net,James,Lee,4/23/05 0:00,participant,participant123,801-789-4971,Spanish Fork,UT,84991,SLCC,Arts,
james.white301@ellarises.org,James,White,4/16/13 0:00,participant,participant123,801-758-3947,Sandy,UT,84607,Retail Store,Both,
sophia.robinson302@studentmail.org,Sophia,Robinson,3/6/07 0:00,participant,participant123,801-498-2133,Riverton,UT,84817,Tech Apprenticeship,Arts,
camila.martin303@studentmail.org,Camila,Martin,6/16/06 0:00,participant,participant123,801-357-7932,Layton,UT,84675,East Ridge Middle,Arts,57.33
levi.nguyen304@community.org,Levi,Nguyen,3/12/10 0:00,participant,participant123,801-908-7853,Pleasant Grove,UT,84946,Westview High,Arts,76.94
sebastian.hill305@ellarises.org,Sebastian,Hill,9/24/01 0:00,participant,participant123,801-454-6816,Logan,UT,84788,Tech Apprenticeship,Both,
mia.torres306@community.org,Mia,Torres,3/28/98 0:00,participant,participant123,801-640-2735,Lehi,UT,84989,East Ridge Middle,Arts,
victoria.allen307@studentmail.org,Victoria,Allen,3/29/13 0:00,participant,participant123,801-600-8586,Riverton,UT,84384,Local Library,Both,
mateo.martinez308@learners.net,Mateo,Martinez,5/1/07 0:00,participant,participant123,801-307-5840,Salt Lake City,UT,84495,Startup Lab,STEM,
ella.martinez309@learners.net,Ella,Martinez,9/8/09 0:00,participant,participant123,801-666-4389,Murray,UT,84352,Mountain View High,Arts,
jack.miller310@community.org,Jack,Miller,1/2/99 0:00,participant,participant123,801-268-5919,Riverton,UT,84327,Retail Store,Both,49.02
ella.johnson311@learners.net,Ella,Johnson,7/29/09 0:00,participant,participant123,801-368-4996,Logan,UT,84694,North Summit High,Both,
lily.perez312@community.org,Lily,Perez,3/7/02 0:00,participant,participant123,801-614-4022,Riverton,UT,84238,Tech Apprenticeship,Both,
william.sanchez313@ellarises.org,William,Sanchez,9/21/06 0:00,participant,participant123,801-806-8037,Sandy,UT,84461,Westview High,Both,
hannah.wilson314@learners.net,Hannah,Wilson,3/12/02 0:00,participant,participant123,801-304-9796,Ogden,UT,84592,UVU,Arts,465.97
nora.robinson315@ellarises.org,Nora,Robinson,5/2/12 0:00,participant,participant123,801-701-9646,Layton,UT,84687,UVU,Both,139.89
hazel.flores316@community.org,Hazel,Flores,11/6/11 0:00,participant,participant123,801-560-8501,Logan,UT,84357,North Summit High,Both,
brooklyn.flores317@ellarises.org,Brooklyn,Flores,11/6/04 0:00,participant,participant123,801-320-4908,St. George,UT,84321,East Ridge Middle,STEM,
zoe.martinez318@community.org,Zoe,Martinez,6/28/07 0:00,participant,participant123,801-341-7286,Taylorsville,UT,84611,North Summit High,Arts,
sebastian.lopez319@studentmail.org,Sebastian,Lopez,1/21/05 0:00,participant,participant123,801-343-4065,Spanish Fork,UT,84296,Community Center,Arts,74.74
charlotte.thompson320@ellarises.org,Charlotte,Thompson,8/6/10 0:00,participant,participant123,801-399-7290,Spanish Fork,UT,84140,Cafe Rio,Both,230.96
jackson.clark321@community.org,Jackson,Clark,10/2/01 0:00,participant,participant123,801-654-9006,Taylorsville,UT,84728,East Ridge Middle,Both,52.89
sophia.anderson322@learners.net,Sophia,Anderson,6/22/04 0:00,participant,participant123,801-430-9808,Provo,UT,84282,North Summit High,Arts,
jackson.scott323@ellarises.org,Jackson,Scott,3/25/06 0:00,participant,participant123,801-993-9898,Logan,UT,84275,Cafe Rio,STEM,
henry.wright324@studentmail.org,Henry,Wright,9/4/04 0:00,participant,participant123,801-953-5055,Taylorsville,UT,84105,Community Center,STEM,52.05
lucas.taylor325@learners.net,Lucas,Taylor,9/16/02 0:00,participant,participant123,801-320-4882,Ogden,UT,84450,Retail Store,Both,
kennedy.flores326@community.org,Kennedy,Flores,8/23/02 0:00,participant,participant123,801-342-4385,Orem,UT,84631,Retail Store,STEM,
kennedy.wright327@learners.net,Kennedy,Wright,6/28/04 0:00,participant,participant123,801-920-5794,Orem,UT,84332,Local Library,Arts,203.19
daniel.miller328@studentmail.org,Daniel,Miller,9/17/12 0:00,participant,participant123,801-260-5543,Taylorsville,UT,84941,North Summit High,Both,
sofia.thomas329@studentmail.org,Sofia,Thomas,12/23/08 0:00,participant,participant123,801-453-7434,Lehi,UT,84849,North Summit High,Both,
paisley.clark330@community.org,Paisley,Clark,1/14/07 0:00,participant,participant123,801-848-2525,Riverton,UT,84078,Cafe Rio,Both,
penelope.white331@community.org,Penelope,White,6/8/14 0:00,participant,participant123,801-795-1040,Spanish Fork,UT,84336,East Ridge Middle,Both,94.37
benjamin.thompson332@ellarises.org,Benjamin,Thompson,2/4/09 0:00,participant,participant123,801-639-4470,Bountiful,UT,84224,BYU,Arts,
aurora.perez333@studentmail.org,Aurora,Perez,1/12/99 0:00,participant,participant123,801-551-1793,Spanish Fork,UT,84808,East Ridge Middle,Both,69.49
benjamin.johnson334@ellarises.org,Benjamin,Johnson,8/6/07 0:00,participant,participant123,801-667-1011,Orem,UT,84452,Valley Charter,Both,
sofia.martin335@studentmail.org,Sofia,Martin,8/14/03 0:00,participant,participant123,801-870-6905,Layton,UT,84096,East Ridge Middle,Arts,473.94
chloe.brown336@community.org,Chloe,Brown,8/18/07 0:00,participant,participant123,801-916-4836,Murray,UT,84744,Tech Apprenticeship,STEM,
elizabeth.smith337@studentmail.org,Elizabeth,Smith,8/26/09 0:00,participant,participant123,801-335-4705,Spanish Fork,UT,84080,Tech Apprenticeship,Arts,
olivia.smith338@learners.net,Olivia,Smith,9/18/08 0:00,participant,participant123,801-632-3165,Logan,UT,84881,East Ridge Middle,STEM,
hazel.garcia339@ellarises.org,Hazel,Garcia,1/28/01 0:00,participant,participant123,801-576-5902,Logan,UT,84321,SLCC,STEM,
aria.jones340@ellarises.org,Aria,Jones,2/2/12 0:00,participant,participant123,801-559-4490,Orem,UT,84451,Art Studio,STEM,184.51
noah.flores341@community.org,Noah,Flores,11/17/14 0:00,participant,participant123,801-302-3293,Sandy,UT,84089,East Ridge Middle,Both,921.39
hazel.thompson342@community.org,Hazel,Thompson,3/18/04 0:00,participant,participant123,801-343-5059,Lehi,UT,84811,Tech Apprenticeship,STEM,
addison.scott343@learners.net,Addison,Scott,8/11/02 0:00,participant,participant123,801-874-5942,Salt Lake City,UT,84869,Cafe Rio,Both,
daniel.gonzalez344@community.org,Daniel,Gonzalez,2/6/09 0:00,participant,participant123,801-255-4921,Murray,UT,84662,SLCC,STEM,
lillian.young345@ellarises.org,Lillian,Young,2/5/05 0:00,participant,participant123,801-212-6916,Pleasant Grove,UT,84911,North Summit High,Arts,140.35
oliver.white346@studentmail.org,Oliver,White,5/17/98 0:00,participant,participant123,801-988-2195,Spanish Fork,UT,84978,Local Library,STEM,1106.46
olivia.taylor347@studentmail.org,Olivia,Taylor,5/13/09 0:00,participant,participant123,801-261-7520,Provo,UT,84945,BYU,Both,
mateo.clark348@community.org,Mateo,Clark,1/22/10 0:00,participant,participant123,801-855-9791,Bountiful,UT,84085,Local Library,STEM,1178.92
penelope.garcia349@learners.net,Penelope,Garcia,1/12/10 0:00,participant,participant123,801-408-3545,Ogden,UT,84524,UVU,Arts,530.11
harper.martin350@community.org,Harper,Martin,9/30/07 0:00,participant,participant123,801-450-2412,West Jordan,UT,84060,East Ridge Middle,Arts,
amelia.martin351@studentmail.org,Amelia,Martin,9/25/13 0:00,participant,participant123,801-924-3248,Logan,UT,84013,Westview High,STEM,
jackson.thompson352@learners.net,Jackson,Thompson,6/10/14 0:00,participant,participant123,801-329-5403,Orem,UT,84381,Startup Lab,STEM,
sophia.perez353@community.org,Sophia,Perez,12/23/13 0:00,participant,participant123,801-265-5308,Layton,UT,84537,Local Library,Both,
evelyn.young354@community.org,Evelyn,Young,9/18/10 0:00,participant,participant123,801-256-9185,Pleasant Grove,UT,84369,North Summit High,Arts,253.47
lily.taylor355@ellarises.org,Lily,Taylor,1/22/98 0:00,participant,participant123,801-958-9336,Logan,UT,84234,Westview High,STEM,40.69
addison.williams356@community.org,Addison,Williams,10/17/98 0:00,participant,participant123,801-353-3932,Draper,UT,84393,Cafe Rio,Both,203.43
oliver.anderson357@learners.net,Oliver,Anderson,2/1/04 0:00,participant,participant123,801-937-6241,West Jordan,UT,84427,Community Center,STEM,136.01
zoe.davis358@ellarises.org,Zoe,Davis,12/29/06 0:00,participant,participant123,801-728-1752,Orem,UT,84229,East Ridge Middle,Arts,
aurora.martin359@learners.net,Aurora,Martin,4/11/06 0:00,participant,participant123,801-667-1130,Ogden,UT,84567,Valley Charter,Arts,
brooklyn.flores360@studentmail.org,Brooklyn,Flores,5/20/02 0:00,participant,participant123,801-805-9083,Riverton,UT,84378,Art Studio,Both,
olivia.perez362@ellarises.org,Olivia,Perez,5/1/00 0:00,participant,participant123,801-955-6038,Bountiful,UT,84870,Valley Charter,Both,162.92
lillian.clark363@community.org,Lillian,Clark,2/2/00 0:00,participant,participant123,801-345-5584,Provo,UT,84996,Westview High,STEM,
michael.clark364@learners.net,Michael,Clark,1/10/11 0:00,participant,participant123,801-965-2391,Riverton,UT,84998,East Ridge Middle,Both,220.57
camila.sanchez365@ellarises.org,Camila,Sanchez,4/24/03 0:00,participant,participant123,801-878-3141,Provo,UT,84446,BYU,Arts,
aaliyah.sanchez366@learners.net,Aaliyah,Sanchez,9/4/99 0:00,participant,participant123,801-478-4827,Lehi,UT,84464,Valley Charter,STEM,
mila.martinez367@ellarises.org,Mila,Martinez,2/13/07 0:00,participant,participant123,801-677-6145,Orem,UT,84461,East Ridge Middle,Both,
stella.wilson368@community.org,Stella,Wilson,1/11/00 0:00,participant,participant123,801-471-2964,Murray,UT,84475,North Summit High,Both,
brooklyn.hill369@ellarises.org,Brooklyn,Hill,1/18/00 0:00,participant,participant123,801-535-3430,Sandy,UT,84856,Art Studio,STEM,
stella.sanchez370@ellarises.org,Stella,Sanchez,1/26/07 0:00,participant,participant123,801-378-1509,Murray,UT,84267,Community Center,Arts,
addison.miller371@community.org,Addison,Miller,4/8/98 0:00,participant,participant123,801-343-2989,Logan,UT,84824,Westview High,STEM,213.63
evelyn.johnson373@ellarises.org,Evelyn,Johnson,11/21/00 0:00,participant,participant123,801-861-8265,Sandy,UT,84925,East Ridge Middle,Arts,
avery.williams374@community.org,Avery,Williams,4/1/14 0:00,participant,participant123,801-787-8096,Provo,UT,84173,SLCC,Arts,
sophia.harris375@community.org,Sophia,Harris,3/2/04 0:00,participant,participant123,801-419-4066,Orem,UT,84363,BYU,Arts,
scarlett.williams376@studentmail.org,Scarlett,Williams,5/15/99 0:00,participant,participant123,801-621-8848,Murray,UT,84511,East Ridge Middle,Arts,
hazel.rodriguez377@community.org,Hazel,Rodriguez,2/24/12 0:00,participant,participant123,801-738-5082,Sandy,UT,84659,Retail Store,Both,
emma.harris378@learners.net,Emma,Harris,9/8/10 0:00,participant,participant123,801-696-6636,Spanish Fork,UT,84558,Cafe Rio,Arts,
hazel.moore379@studentmail.org,Hazel,Moore,8/29/98 0:00,participant,participant123,801-811-4588,Salt Lake City,UT,84327,Startup Lab,Arts,193.38
amelia.walker380@learners.net,Amelia,Walker,7/24/03 0:00,participant,participant123,801-363-2640,West Jordan,UT,84998,Tech Apprenticeship,STEM,544.27
paisley.wright381@ellarises.org,Paisley,Wright,11/24/01 0:00,participant,participant123,801-597-6813,West Jordan,UT,84590,North Summit High,STEM,1555.25
aaliyah.thompson382@ellarises.org,Aaliyah,Thompson,8/18/10 0:00,participant,participant123,801-781-3328,Draper,UT,84971,Valley Charter,Arts,
ethan.martin383@studentmail.org,Ethan,Martin,3/21/03 0:00,participant,participant123,801-292-1920,Spanish Fork,UT,84039,Local Library,STEM,
emma.king384@community.org,Emma,King,12/4/00 0:00,participant,participant123,801-828-4300,Salt Lake City,UT,84340,UVU,Both,111.57
layla.lee385@ellarises.org,Layla,Lee,6/27/00 0:00,participant,participant123,801-800-3320,Salt Lake City,UT,84152,Community Center,Both,
natalie.jones386@learners.net,Natalie,Jones,10/8/04 0:00,participant,participant123,801-303-6514,Bountiful,UT,84601,UVU,STEM,
lily.ramirez387@community.org,Lily,Ramirez,1/3/03 0:00,participant,participant123,801-924-6846,Lehi,UT,84179,Tech Apprenticeship,Both,
layla.harris388@learners.net,Layla,Harris,9/29/13 0:00,participant,participant123,801-381-1029,Murray,UT,84131,Local Library,Arts,
isabella.lopez389@learners.net,Isabella,Lopez,2/16/09 0:00,participant,participant123,801-779-2705,West Jordan,UT,84655,North Summit High,Arts,248.54
evelyn.thomas390@learners.net,Evelyn,Thomas,11/25/13 0:00,participant,participant123,801-851-2453,Lehi,UT,84172,Tech Apprenticeship,Both,29.45
skylar.lewis391@ellarises.org,Skylar,Lewis,11/11/05 0:00,participant,participant123,801-455-2110,Layton,UT,84215,BYU,STEM,245.65
ava.brown392@community.org,Ava,Brown,4/15/07 0:00,participant,participant123,801-629-3725,Riverton,UT,84751,Mountain View High,Arts,
kennedy.wright393@community.org,Kennedy,Wright,8/25/01 0:00,participant,participant123,801-690-4695,Logan,UT,84849,Mountain View High,STEM,
isabella.jackson394@ellarises.org,Isabella,Jackson,9/1/05 0:00,participant,participant123,801-307-2215,Lehi,UT,84268,North Summit High,Arts,176.89
lily.jones395@ellarises.org,Lily,Jones,10/20/13 0:00,participant,participant123,801-828-8909,Lehi,UT,84609,Westview High,Arts,
chloe.hill396@community.org,Chloe,Hill,8/11/02 0:00,participant,participant123,801-303-6424,Orem,UT,84055,Valley Charter,Arts,74.97
ethan.taylor397@learners.net,Ethan,Taylor,10/24/06 0:00,participant,participant123,801-298-1813,Murray,UT,84244,Local Library,Both,
alexander.martinez398@ellarises.org,Alexander,Martinez,8/9/04 0:00,participant,participant123,801-637-2435,Draper,UT,84004,Community Center,Both,
levi.gonzalez399@ellarises.org,Levi,Gonzalez,11/3/99 0:00,participant,participant123,801-374-5781,Salt Lake City,UT,84212,Mountain View High,STEM,
bella.sanchez400@community.org,Bella,Sanchez,1/17/00 0:00,participant,participant123,801-876-5341,Spanish Fork,UT,84917,Tech Apprenticeship,Both,
hazel.lopez401@learners.net,Hazel,Lopez,1/1/99 0:00,participant,participant123,801-391-8303,Bountiful,UT,84379,BYU,Arts,
theodore.taylor402@studentmail.org,Theodore,Taylor,11/15/14 0:00,participant,participant123,801-263-3476,Layton,UT,84578,Art Studio,Both,
elizabeth.garcia403@learners.net,Elizabeth,Garcia,6/2/10 0:00,participant,participant123,801-974-4727,Taylorsville,UT,84995,Westview High,Arts,279.42
michael.clark404@community.org,Michael,Clark,11/9/06 0:00,participant,participant123,801-506-2293,West Jordan,UT,84488,Startup Lab,Both,
isabella.allen405@studentmail.org,Isabella,Allen,11/17/01 0:00,participant,participant123,801-975-8357,Logan,UT,84973,North Summit High,STEM,494.09
zoey.rodriguez406@ellarises.org,Zoey,Rodriguez,7/13/02 0:00,participant,participant123,801-899-8133,Taylorsville,UT,84081,Community Center,Both,144.09
aria.hill407@learners.net,Aria,Hill,12/14/99 0:00,participant,participant123,801-944-2097,Lehi,UT,84933,SLCC,Both,576.18
