MilestoneID,ParticipantEmail,MilestoneTitle,MilestoneCategory,MilestoneDate
391,mia.torres306@community.org,Web Development Certificate,Certificates & Awards,6/12/25
392,mia.torres306@community.org,AA in Art & Design,Associate's Degree,7/8/25
393,mia.torres306@community.org,Mentorship Program,Career,7/19/23
394,victoria.allen307@studentmail.org,Mentorship Program,Career,8/19/24
395,mateo.martinez308@learners.net,Published Project,Project,9/27/25
396,ella.martinez309@learners.net,Competition Award,Certificates & Awards,3/24/25
397,jack.miller310@community.org,Published Project,Project,4/13/24
398,jack.miller310@community.org,Mentorship Program,Career,1/13/25
399,ella.johnson311@learners.net,Clinical Data Coordinator,Career,7/29/30
400,lily.perez312@community.org,Apprentice Technician,Apprenticeship,9/6/23
401,lily.perez312@community.org,Competition Award,Certificates & Awards,2/16/23
402,lily.perez312@community.org,MS in Information Systems,Master's Degree,3/9/24
403,william.sanchez313@ellarises.org,Retail Assistant,Career,7/9/23
404,william.sanchez313@ellarises.org,AA in Art & Design,Associate's Degree,9/21/24
405,hannah.wilson314@learners.net,IT Help Desk Trainee,Career,8/9/22
406,hannah.wilson314@learners.net,Systems Analyst,Career,3/12/23
407,nora.robinson315@ellarises.org,Software Engineer I,Career,5/2/33
408,hazel.flores316@community.org,Internship,Internship,5/10/25
409,brooklyn.flores317@ellarises.org,Published Project,Project,3/19/23
410,zoe.martinez318@community.org,Mentorship Program,Career,8/21/25
411,zoe.martinez318@community.org,AAS in Drafting & Design,Associate's Degree,10/26/25
412,sebastian.lopez319@studentmail.org,BS in Computer Science,Bachelor's Degree,1/22/26
413,charlotte.thompson320@ellarises.org,Internship,Internship,8/15/25
414,jackson.clark321@community.org,Web Development Certificate,Certificates & Awards,1/16/25
415,jackson.clark321@community.org,BS in Computer Science,Bachelor's Degree,8/19/24
416,jackson.clark321@community.org,Systems Analyst,Career,9/18/24
417,sophia.anderson322@learners.net,Middle School Diploma,Middle School Diploma,3/20/22
418,jackson.scott323@ellarises.org,Data Analyst,Career,3/25/27
419,henry.wright324@studentmail.org,AAS in Drafting & Design,Associate's Degree,6/21/25
420,lucas.taylor325@learners.net,Competition Award,Certificates & Awards,7/6/22
421,lucas.taylor325@learners.net,Mentorship Program,Career,1/20/25
422,kennedy.flores326@community.org,Middle School Diploma,Middle School Diploma,7/10/23
423,kennedy.wright327@learners.net,High School Diploma,High School Diploma,8/27/22
424,daniel.miller328@studentmail.org,Studio Assistant,Career,9/17/29
425,sofia.thomas329@studentmail.org,Middle School Diploma,Middle School Diploma,1/5/25
426,paisley.clark330@community.org,Web Development Certificate,Certificates & Awards,1/14/25
427,penelope.white331@community.org,Middle School Diploma,Middle School Diploma,6/8/27
428,penelope.white331@community.org,Digital Illustration Certificate,Certificates & Awards,6/8/32
429,benjamin.thompson332@ellarises.org,High School Diploma,High School Diploma,2/4/26
430,benjamin.johnson334@ellarises.org,AS in Computer Science,Associate's Degree,8/6/25
431,sofia.martin335@studentmail.org,Data Analyst,Career,10/29/25
432,chloe.brown336@community.org,MBA,Master's Degree,8/18/29
433,elizabeth.smith337@studentmail.org,Internship,Internship,1/15/22
434,olivia.smith338@learners.net,Lifeguard,Career,9/28/25
435,hazel.garcia339@ellarises.org,AS in Computer Science,Associate's Degree,6/2/23
436,aria.jones340@ellarises.org,High School Diploma,High School Diploma,2/2/29
437,noah.flores341@community.org,BS in Data Analytics,Bachelor's Degree,11/17/34
438,hazel.thompson342@community.org,Middle School Diploma,Middle School Diploma,1/9/23
439,hazel.thompson342@community.org,Apprentice Technician,Apprenticeship,2/5/23
440,addison.scott343@learners.net,MBA,Master's Degree,8/11/24
441,daniel.gonzalez344@community.org,Data Analyst,Career,2/6/30
442,daniel.gonzalez344@community.org,Customer Support Rep,Career,2/6/26
443,lillian.young345@ellarises.org,Internship,Internship,9/29/23
444,lillian.young345@ellarises.org,Middle School Diploma,Middle School Diploma,9/25/23
445,oliver.white346@studentmail.org,Digital Illustration Certificate,Certificates & Awards,8/10/22
446,oliver.white346@studentmail.org,BA in Studio Arts,Bachelor's Degree,5/19/22
447,olivia.taylor347@studentmail.org,MS in Data Science,Master's Degree,5/13/31
448,mateo.clark348@community.org,Clinical Data Coordinator,Career,1/22/31
449,penelope.garcia349@learners.net,Published Project,Project,6/28/24
450,harper.martin350@community.org,Published Project,Project,2/23/24
451,harper.martin350@community.org,Retail Assistant,Career,9/26/23
452,amelia.martin351@studentmail.org,AS in Information Systems,Associate's Degree,9/25/31
453,jackson.thompson352@learners.net,BS in Information Systems,Bachelor's Degree,6/10/34
454,sophia.perez353@community.org,Mentorship Program,Career,6/28/25
455,evelyn.young354@community.org,Internship,Internship,7/14/25
456,lily.taylor355@ellarises.org,Middle School Diploma,Middle School Diploma,12/30/25
457,addison.williams356@community.org,AA in Art & Design,Associate's Degree,11/15/22
458,oliver.anderson357@learners.net,BS in Information Systems,Bachelor's Degree,9/21/25
459,zoe.davis358@ellarises.org,Web Development Certificate,Certificates & Awards,1/13/25
460,aurora.martin359@learners.net,Published Project,Project,4/13/25
461,brooklyn.flores360@studentmail.org,Junior QA Tester,Career,9/24/23
462,olivia.perez362@ellarises.org,High School Diploma,High School Diploma,3/26/22
463,olivia.perez362@ellarises.org,Camp Counselor,Career,1/25/22
464,lillian.clark363@community.org,Camp Counselor,Career,8/3/23
465,lillian.clark363@community.org,AS in Information Systems,Associate's Degree,6/20/23
466,michael.clark364@learners.net,Systems Analyst,Career,1/10/32
467,camila.sanchez365@ellarises.org,Published Project,Project,6/19/23
468,aaliyah.sanchez366@learners.net,Internship,Internship,6/2/25
469,mila.martinez367@ellarises.org,Competition Award,Certificates & Awards,4/14/25
470,mila.martinez367@ellarises.org,Customer Support Rep,Career,8/13/25
471,stella.wilson368@community.org,AAS in Drafting & Design,Associate's Degree,10/27/25
472,brooklyn.hill369@ellarises.org,BS in Data Analytics,Bachelor's Degree,3/20/26
473,stella.sanchez370@ellarises.org,BA in Studio Arts,Bachelor's Degree,1/26/27
474,stella.sanchez370@ellarises.org,Competition Award,Certificates & Awards,8/7/23
475,stella.sanchez370@ellarises.org,Published Project,Project,10/5/25
476,stella.sanchez370@ellarises.org,Digital Illustration Certificate,Certificates & Awards,1/26/25
477,addison.miller371@community.org,Junior Art Assistant,Career,2/17/22
478,addison.miller371@community.org,AA in Art & Design,Associate's Degree,11/13/23
479,evelyn.johnson373@ellarises.org,BS in Computer Science,Bachelor's Degree,11/29/22
480,avery.williams374@community.org,IT Help Desk Trainee,Career,1/28/26
481,sophia.harris375@community.org,IT Support Certificate,Certificates & Awards,10/24/24
482,sophia.harris375@community.org,MS in Information Systems,Master's Degree,3/2/26
483,scarlett.williams376@studentmail.org,BS in Mechanical Engineering,Bachelor's Degree,10/15/24
484,hazel.rodriguez377@community.org,MS in Information Systems,Master's Degree,2/24/34
485,hazel.rodriguez377@community.org,Data Analytics Certificate,Certificates & Awards,2/24/30
486,emma.harris378@learners.net,Lifeguard,Career,12/22/24
487,hazel.moore379@studentmail.org,Product Designer,Career,10/25/22
488,amelia.walker380@learners.net,Software Engineer I,Career,7/24/24
489,amelia.walker380@learners.net,IT Help Desk Trainee,Career,6/22/23
490,paisley.wright381@ellarises.org,Competition Award,Certificates & Awards,1/7/24
491,aaliyah.thompson382@ellarises.org,Mentorship Program,Career,10/10/23
492,aaliyah.thompson382@ellarises.org,Middle School Diploma,Middle School Diploma,8/18/23
493,ethan.martin383@studentmail.org,IT Support Certificate,Certificates & Awards,10/27/22
494,ethan.martin383@studentmail.org,Mentorship Program,Career,7/24/22
495,emma.king384@community.org,Internship,Internship,8/15/25
496,layla.lee385@ellarises.org,Internship,Internship,8/21/23
497,natalie.jones386@learners.net,Internship,Internship,3/13/22
498,lily.ramirez387@community.org,Internship,Internship,9/7/22
499,layla.harris388@learners.net,Apprentice Technician,Apprenticeship,9/29/30
500,isabella.lopez389@learners.net,MBA,Master's Degree,2/16/31
501,isabella.lopez389@learners.net,Internship,Internship,10/27/24
502,evelyn.thomas390@learners.net,Internship,Internship,12/29/24
503,evelyn.thomas390@learners.net,Published Project,Project,4/21/25
504,skylar.lewis391@ellarises.org,High School Diploma,High School Diploma,10/20/24
505,ava.brown392@community.org,Customer Support Rep,Career,9/13/24
506,ava.brown392@community.org,BA in Studio Arts,Bachelor's Degree,4/15/27
507,kennedy.wright393@community.org,Digital Illustration Certificate,Certificates & Awards,11/6/24
508,isabella.jackson394@ellarises.org,Published Project,Project,6/21/26
509,lily.jones395@ellarises.org,IT Support Certificate,Certificates & Awards,10/20/31
510,lily.jones395@ellarises.org,Internship,Internship,10/10/23
511,chloe.hill396@community.org,Studio Assistant,Career,12/25/25
512,ethan.taylor397@learners.net,High School Diploma,High School Diploma,10/24/23
513,levi.gonzalez399@ellarises.org,AS in Information Systems,Associate's Degree,12/6/23
514,bella.sanchez400@community.org,Clinical Data Coordinator,Career,9/15/25
515,hazel.lopez401@learners.net,BA in Studio Arts,Bachelor's Degree,6/25/22
516,theodore.taylor402@studentmail.org,Competition Award,Certificates & Awards,3/11/22
517,elizabeth.garcia403@learners.net,MS in Data Science,Master's Degree,6/2/32
518,elizabeth.garcia403@learners.net,AA in Art & Design,Associate's Degree,6/2/28
519,michael.clark404@community.org,Competition Award,Certificates & Awards,6/21/22
520,isabella.allen405@studentmail.org,Competition Award,Certificates & Awards,6/6/26
521,zoey.rodriguez406@ellarises.org,Camp Counselor,Career,10/14/25
522,aria.hill407@learners.net,Lifeguard,Career,3/4/22
523,james.scott408@learners.net,BS in Mechanical Engineering,Bachelor's Degree,9/16/33
524,james.scott408@learners.net,Internship,Internship,6/25/25
525,james.scott408@learners.net,High School Diploma,High School Diploma,9/16/30
526,michael.clark409@ellarises.org,Mentorship Program,Career,7/26/24
527,aurora.wright410@learners.net,High School Diploma,High School Diploma,10/31/27
528,isabella.lopez411@learners.net,Mentorship Program,Career,9/3/23
529,bella.moore413@community.org,Competition Award,Certificates & Awards,7/11/24
530,bella.moore413@community.org,AAS in Drafting & Design,Associate's Degree,3/20/24
531,claire.moore414@community.org,Middle School Diploma,Middle School Diploma,10/7/24
532,michael.white415@ellarises.org,High School Diploma,High School Diploma,8/17/24
533,liam.rodriguez416@ellarises.org,MS in Data Science,Master's Degree,8/6/25
534,sophia.thomas418@learners.net,AS in Computer Science,Associate's Degree,8/23/26
535,kennedy.thompson419@studentmail.org,Internship,Internship,2/23/24
536,charlotte.hernandez420@studentmail.org,Middle School Diploma,Middle School Diploma,2/8/23
537,daniel.johnson421@ellarises.org,Web Development Certificate,Certificates & Awards,6/26/29
538,victoria.taylor422@learners.net,Web Development Certificate,Certificates & Awards,4/18/26
539,victoria.taylor422@learners.net,Retail Assistant,Career,11/10/25
540,aurora.martin424@ellarises.org,Junior Art Assistant,Career,7/6/22
541,lucy.martin425@studentmail.org,BS in Data Analytics,Bachelor's Degree,2/22/24
542,liam.lee426@studentmail.org,IT Support Certificate,Certificates & Awards,4/17/23
543,liam.harris427@ellarises.org,Software Engineer I,Career,5/24/34
544,jack.thompson428@learners.net,AS in Information Systems,Associate's Degree,8/23/25
545,jack.thompson428@learners.net,Data Analytics Certificate,Certificates & Awards,10/24/24
546,jack.thompson428@learners.net,Published Project,Project,2/5/25
547,jack.thompson428@learners.net,Lifeguard,Career,10/11/25
548,sofia.taylor429@studentmail.org,AA in Art & Design,Associate's Degree,1/17/25
549,sofia.taylor429@studentmail.org,Published Project,Project,9/15/24
550,bella.clark430@learners.net,BA in Studio Arts,Bachelor's Degree,5/27/28
551,jack.brown431@ellarises.org,Junior QA Tester,Career,8/27/24
552,leah.king432@learners.net,Systems Analyst,Career,8/15/25
553,leah.king432@learners.net,MS in Data Science,Master's Degree,7/16/25
554,benjamin.martinez433@learners.net,IT Support Certificate,Certificates & Awards,11/8/25
555,aaliyah.brown434@ellarises.org,BS in Mechanical Engineering,Bachelor's Degree,12/4/30
556,alexander.garcia435@studentmail.org,AA in Art & Design,Associate's Degree,8/16/25
557,ava.williams436@studentmail.org,AA in Art & Design,Associate's Degree,12/23/32
558,zoey.johnson437@ellarises.org,Middle School Diploma,Middle School Diploma,6/7/25
559,hazel.allen438@learners.net,BS in Mechanical Engineering,Bachelor's Degree,7/10/24
560,michael.hill439@learners.net,High School Diploma,High School Diploma,6/30/25
561,stella.gonzalez440@studentmail.org,Product Designer,Career,4/23/35
562,eleanor.wright442@ellarises.org,Published Project,Project,11/29/22
563,olivia.martin444@community.org,AA in Art & Design,Associate's Degree,12/20/29
564,camila.clark445@ellarises.org,AA in Art & Design,Associate's Degree,6/26/22
565,jackson.gonzalez446@studentmail.org,Internship,Internship,4/8/23
566,jackson.gonzalez446@studentmail.org,Retail Assistant,Career,11/12/22
567,savannah.hernandez447@ellarises.org,Lab Assistant,Career,5/13/25
568,olivia.garcia448@ellarises.org,Competition Award,Certificates & Awards,12/21/23
569,elizabeth.taylor449@studentmail.org,IT Help Desk Trainee,Career,1/31/25
570,elizabeth.taylor449@studentmail.org,Internship,Internship,4/13/25
571,olivia.rodriguez451@studentmail.org,Published Project,Project,2/6/25
572,violet.lopez452@ellarises.org,Studio Assistant,Career,8/26/23
573,oliver.hernandez453@ellarises.org,MS in Data Science,Master's Degree,6/13/26
574,oliver.hernandez453@ellarises.org,Published Project,Project,5/12/26
575,levi.torres454@community.org,IT Support Certificate,Certificates & Awards,9/18/29
576,sofia.walker455@community.org,Systems Analyst,Career,12/10/23
577,addison.walker457@learners.net,High School Diploma,High School Diploma,6/29/25
578,mateo.walker458@community.org,High School Diploma,High School Diploma,7/29/24
579,penelope.brown459@studentmail.org,AS in Computer Science,Associate's Degree,4/18/26
580,lucas.garcia460@community.org,High School Diploma,High School Diploma,9/18/31
581,mila.sanchez461@community.org,Competition Award,Certificates & Awards,10/9/24
582,brooklyn.allen462@studentmail.org,Competition Award,Certificates & Awards,11/1/25
583,brooklyn.allen462@studentmail.org,Mentorship Program,Career,5/9/26
584,benjamin.perez463@community.org,Mentorship Program,Career,9/18/25
585,victoria.smith464@learners.net,Mentorship Program,Career,7/21/25
586,mila.williams465@studentmail.org,Middle School Diploma,Middle School Diploma,11/28/24
587,nora.gonzalez466@ellarises.org,MFA in Studio Arts,Master's Degree,1/28/36
588,oliver.williams467@ellarises.org,Mentorship Program,Career,10/21/22
589,oliver.williams467@ellarises.org,Internship,Internship,3/27/22
590,mason.brown468@community.org,BS in Mechanical Engineering,Bachelor's Degree,7/8/33
591,sofia.miller469@community.org,High School Diploma,High School Diploma,8/29/28
592,addison.moore470@community.org,Competition Award,Certificates & Awards,11/12/23
593,daniel.martin471@learners.net,High School Diploma,High School Diploma,5/26/30
594,sofia.lopez472@learners.net,AAS in Drafting & Design,Associate's Degree,1/27/29
595,sofia.lopez472@learners.net,Internship,Internship,1/6/26
596,oliver.wright473@learners.net,Lab Assistant,Career,4/7/25
597,aria.brown474@ellarises.org,Lab Assistant,Career,8/31/22
598,aria.brown475@learners.net,Retail Assistant,Career,11/22/24
599,mila.flores476@studentmail.org,Middle School Diploma,Middle School Diploma,7/17/26
600,leah.harris477@community.org,Internship,Internship,8/15/23
601,leah.harris477@community.org,MS in Data Science,Master's Degree,3/6/23
602,nora.flores478@community.org,Published Project,Project,2/20/26
603,nora.flores478@community.org,Data Analytics Certificate,Certificates & Awards,12/8/32
604,nora.gonzalez479@learners.net,MBA,Master's Degree,7/1/25
605,daniel.davis480@community.org,Middle School Diploma,Middle School Diploma,12/3/23
606,daniel.davis480@community.org,Retail Assistant,Career,11/26/22
607,eleanor.smith481@learners.net,Data Analytics Certificate,Certificates & Awards,6/7/25
608,eleanor.smith481@learners.net,MS in Information Systems,Master's Degree,2/2/25
609,charlotte.flores482@learners.net,Mentorship Program,Career,9/26/23
610,charlotte.flores482@learners.net,Digital Illustration Certificate,Certificates & Awards,7/13/23
611,aaliyah.king483@studentmail.org,Middle School Diploma,Middle School Diploma,9/6/25
612,sebastian.sanchez484@ellarises.org,Internship,Internship,7/13/24
613,hannah.flores485@community.org,MS in Information Systems,Master's Degree,12/30/29
614,hannah.flores485@community.org,Mentorship Program,Career,12/19/24
615,addison.williams486@learners.net,AAS in Drafting & Design,Associate's Degree,6/11/22
616,aurora.johnson487@learners.net,BA in Studio Arts,Bachelor's Degree,12/1/28
617,aurora.johnson487@learners.net,Junior QA Tester,Career,12/1/25
618,zoey.lee488@ellarises.org,Camp Counselor,Career,3/28/25
619,zoey.lee488@ellarises.org,AS in Computer Science,Associate's Degree,12/17/27
620,harper.wilson489@studentmail.org,Data Analytics Certificate,Certificates & Awards,1/23/28
621,william.jones490@studentmail.org,Published Project,Project,8/29/25
622,william.jones490@studentmail.org,Clinical Data Coordinator,Career,3/11/26
623,liam.ramirez492@learners.net,Middle School Diploma,Middle School Diploma,2/14/23
624,harper.nguyen493@ellarises.org,Camp Counselor,Career,1/3/23
625,brooklyn.hill494@ellarises.org,High School Diploma,High School Diploma,8/10/24
626,brooklyn.hill494@ellarises.org,MS in Data Science,Master's Degree,11/11/28
627,sophia.walker495@studentmail.org,High School Diploma,High School Diploma,3/29/27
628,aria.martin496@learners.net,High School Diploma,High School Diploma,9/16/22
629,aria.martin496@learners.net,Clinical Data Coordinator,Career,3/8/22
630,james.wright497@ellarises.org,High School Diploma,High School Diploma,7/14/25
631,james.wright497@ellarises.org,Retail Assistant,Career,5/15/25
632,daniel.martinez498@studentmail.org,Mentorship Program,Career,11/9/25
633,charlotte.scott499@community.org,Competition Award,Certificates & Awards,3/11/26
634,alexander.perez500@learners.net,BS in Mechanical Engineering,Bachelor's Degree,11/20/22
635,alexander.perez500@learners.net,Published Project,Project,8/16/22
636,harper.gonzalez501@learners.net,High School Diploma,High School Diploma,7/21/30
637,natalie.lee502@community.org,Internship,Internship,8/29/23
638,william.moore503@learners.net,Middle School Diploma,Middle School Diploma,5/18/22
639,william.moore503@learners.net,AA in Art & Design,Associate's Degree,10/6/26
640,stella.martin504@community.org,High School Diploma,High School Diploma,10/22/24
641,sebastian.gonzalez505@learners.net,MFA in Studio Arts,Master's Degree,5/17/31
642,liam.nguyen506@studentmail.org,Software Engineer I,Career,2/8/31
643,daniel.garcia508@community.org,Mentorship Program,Career,2/15/22
644,daniel.rodriguez509@community.org,Retail Assistant,Career,7/27/23
645,daniel.rodriguez509@community.org,BS in Computer Science,Bachelor's Degree,7/4/34
646,stella.williams510@studentmail.org,Middle School Diploma,Middle School Diploma,9/17/23
647,grace.king511@learners.net,Middle School Diploma,Middle School Diploma,7/14/25
648,mila.king512@learners.net,Published Project,Project,6/28/23
649,natalie.nguyen513@ellarises.org,Software Engineer I,Career,8/1/30
650,natalie.nguyen513@ellarises.org,Studio Assistant,Career,8/1/26
651,kennedy.young514@community.org,Systems Analyst,Career,8/5/25
652,daniel.moore515@studentmail.org,Mentorship Program,Career,4/26/23
653,madison.clark516@learners.net,BA in Studio Arts,Bachelor's Degree,9/29/28
654,lily.clark517@ellarises.org,Published Project,Project,8/7/25
655,mia.torres518@studentmail.org,Web Development Certificate,Certificates & Awards,8/3/27
656,emma.jackson519@ellarises.org,Competition Award,Certificates & Awards,8/8/24
657,noah.hill520@studentmail.org,Middle School Diploma,Middle School Diploma,1/19/24
658,violet.robinson521@ellarises.org,Middle School Diploma,Middle School Diploma,2/14/25
659,isabella.wright523@ellarises.org,BS in Information Systems,Bachelor's Degree,7/15/31
660,william.king524@community.org,High School Diploma,High School Diploma,4/4/25
661,leah.thompson525@ellarises.org,IT Support Certificate,Certificates & Awards,7/22/25
662,aurora.hill526@community.org,Internship,Internship,12/27/22
663,elijah.nguyen528@learners.net,Junior Art Assistant,Career,12/14/24
664,elijah.nguyen528@learners.net,Internship,Internship,12/15/24
665,elijah.nguyen528@learners.net,IT Support Certificate,Certificates & Awards,8/31/28
666,penelope.sanchez529@studentmail.org,Mentorship Program,Career,6/30/22
667,penelope.sanchez529@studentmail.org,BS in Information Systems,Bachelor's Degree,8/8/22
668,levi.taylor530@learners.net,Studio Assistant,Career,7/3/31
669,avery.anderson531@community.org,Digital Illustration Certificate,Certificates & Awards,12/26/24
670,avery.anderson531@community.org,High School Diploma,High School Diploma,12/26/23
671,charlotte.hernandez532@community.org,Published Project,Project,10/22/24
672,william.garcia533@ellarises.org,MS in Information Systems,Master's Degree,8/30/33
673,hazel.sanchez534@learners.net,Middle School Diploma,Middle School Diploma,5/12/25
674,olivia.gonzalez535@learners.net,Competition Award,Certificates & Awards,6/10/25
675,chloe.williams536@learners.net,Apprentice Technician,Apprenticeship,8/17/24
676,chloe.williams536@learners.net,BS in Mechanical Engineering,Bachelor's Degree,9/18/23
677,kennedy.thompson538@learners.net,Internship,Internship,4/20/25
678,lucy.lopez539@community.org,Junior QA Tester,Career,4/14/26
679,ella.allen540@learners.net,Junior Art Assistant,Career,11/17/23
680,violet.robinson541@community.org,Apprentice Technician,Apprenticeship,9/17/22
681,jack.lee544@learners.net,MS in Information Systems,Master's Degree,2/6/24
682,zoey.young545@studentmail.org,Published Project,Project,12/14/21
683,addison.flores546@learners.net,BS in Information Systems,Bachelor's Degree,9/16/24
684,jackson.flores547@ellarises.org,Competition Award,Certificates & Awards,4/8/24
685,penelope.young548@studentmail.org,Middle School Diploma,Middle School Diploma,10/29/27
686,charlotte.king549@community.org,High School Diploma,High School Diploma,4/9/26
687,layla.robinson550@ellarises.org,AAS in Drafting & Design,Associate's Degree,12/5/25
688,leah.nguyen551@ellarises.org,Internship,Internship,12/23/24
689,lillian.moore552@community.org,Retail Assistant,Career,6/9/24
690,zoe.white553@community.org,Middle School Diploma,Middle School Diploma,12/1/23
691,elizabeth.moore554@studentmail.org,High School Diploma,High School Diploma,7/28/23
692,scarlett.walker555@ellarises.org,High School Diploma,High School Diploma,2/23/29
693,scarlett.walker555@ellarises.org,AAS in Drafting & Design,Associate's Degree,2/23/30
694,aaliyah.young556@learners.net,MFA in Studio Arts,Master's Degree,12/8/28
695,lily.brown557@studentmail.org,Data Analyst,Career,2/3/29
696,lucy.white558@learners.net,IT Help Desk Trainee,Career,6/1/23
697,nora.torres559@studentmail.org,Lab Assistant,Career,12/7/25
698,nora.torres559@studentmail.org,Data Analytics Certificate,Certificates & Awards,12/7/26
699,lucas.garcia560@community.org,Mentorship Program,Career,4/5/26
700,oliver.flores561@community.org,Published Project,Project,1/25/23
701,savannah.moore562@community.org,High School Diploma,High School Diploma,10/10/31
702,lucas.clark563@studentmail.org,Competition Award,Certificates & Awards,4/15/23
703,eleanor.garcia564@studentmail.org,Middle School Diploma,Middle School Diploma,7/29/23
704,eleanor.garcia564@studentmail.org,Internship,Internship,7/4/23
705,charlotte.johnson565@community.org,High School Diploma,High School Diploma,5/7/25
706,abigail.harris566@learners.net,Published Project,Project,7/16/22
707,abigail.harris566@learners.net,Lab Assistant,Career,12/10/24
708,sofia.king567@studentmail.org,Digital Illustration Certificate,Certificates & Awards,10/26/25
709,theodore.wright568@learners.net,Internship,Internship,7/16/24
710,theodore.wright568@learners.net,Retail Assistant,Career,2/24/24
711,benjamin.torres569@community.org,High School Diploma,High School Diploma,12/8/23
712,levi.wright570@studentmail.org,MS in Information Systems,Master's Degree,3/31/29
713,brooklyn.smith571@ellarises.org,Digital Illustration Certificate,Certificates & Awards,7/5/25
714,sebastian.smith572@community.org,Junior Art Assistant,Career,8/5/23
715,ava.scott573@learners.net,Retail Assistant,Career,9/17/22
716,ava.scott573@learners.net,Published Project,Project,7/27/22
717,hazel.harris574@studentmail.org,Web Development Certificate,Certificates & Awards,8/3/27
718,paisley.jackson575@learners.net,Apprentice Technician,Apprenticeship,7/25/23
719,benjamin.flores576@community.org,Retail Assistant,Career,5/20/25
720,scarlett.brown577@ellarises.org,Digital Illustration Certificate,Certificates & Awards,7/24/22
721,henry.smith578@studentmail.org,Middle School Diploma,Middle School Diploma,4/15/25
722,bella.young579@learners.net,High School Diploma,High School Diploma,7/5/22
723,bella.young579@learners.net,Lifeguard,Career,5/2/22
724,bella.young579@learners.net,Apprentice Technician,Apprenticeship,9/1/22
725,amelia.moore580@community.org,Internship,Internship,7/11/24
726,amelia.moore580@community.org,BS in Mechanical Engineering,Bachelor's Degree,5/6/24
727,leah.smith581@ellarises.org,BS in Information Systems,Bachelor's Degree,1/16/26
728,nora.robinson582@ellarises.org,Data Analyst,Career,9/23/27
729,claire.hernandez583@ellarises.org,BA in Studio Arts,Bachelor's Degree,4/27/32
730,claire.hernandez583@ellarises.org,Middle School Diploma,Middle School Diploma,4/27/25
731,natalie.brown584@studentmail.org,Apprentice Technician,Apprenticeship,10/9/25
732,natalie.brown584@studentmail.org,AS in Information Systems,Associate's Degree,11/18/25
733,penelope.nguyen585@ellarises.org,Competition Award,Certificates & Awards,12/7/22
734,jack.hill586@studentmail.org,MS in Data Science,Master's Degree,11/16/23
735,jack.hill586@studentmail.org,Lab Assistant,Career,2/18/24
736,violet.brown587@ellarises.org,Mentorship Program,Career,5/26/24
737,madison.lee588@learners.net,Digital Illustration Certificate,Certificates & Awards,6/17/31
738,madison.lee588@learners.net,Competition Award,Certificates & Awards,7/10/23
739,camila.taylor589@ellarises.org,Software Engineer I,Career,4/4/30
740,camila.taylor589@ellarises.org,BS in Information Systems,Bachelor's Degree,3/5/30
741,zoey.torres590@studentmail.org,Data Analytics Certificate,Certificates & Awards,10/16/25
742,lily.jones591@studentmail.org,High School Diploma,High School Diploma,10/31/25
743,lily.jones591@studentmail.org,Middle School Diploma,Middle School Diploma,10/31/24
744,sebastian.harris593@studentmail.org,MS in Information Systems,Master's Degree,10/2/33
745,layla.williams595@studentmail.org,Mentorship Program,Career,7/23/22
746,hazel.young596@learners.net,Customer Support Rep,Career,4/29/26
747,hazel.young596@learners.net,Data Analytics Certificate,Certificates & Awards,5/13/26
748,alexander.garcia597@community.org,Middle School Diploma,Middle School Diploma,5/10/23
749,amelia.flores598@learners.net,Web Development Certificate,Certificates & Awards,12/23/22
750,michael.miller599@ellarises.org,IT Help Desk Trainee,Career,5/28/24
751,addison.torres600@studentmail.org,IT Help Desk Trainee,Career,9/17/23
752,sebastian.hill602@community.org,Competition Award,Certificates & Awards,6/7/25
753,william.lee603@studentmail.org,Internship,Internship,4/18/26
754,james.smith604@ellarises.org,MS in Data Science,Master's Degree,10/31/24
755,ava.martin605@studentmail.org,Published Project,Project,10/23/23
756,daniel.scott606@studentmail.org,Internship,Internship,2/14/22
757,daniel.scott606@studentmail.org,AS in Information Systems,Associate's Degree,1/20/22
758,natalie.nguyen607@studentmail.org,AS in Information Systems,Associate's Degree,10/18/28
759,hannah.jones608@learners.net,IT Support Certificate,Certificates & Awards,5/9/29
760,hannah.jones608@learners.net,Lab Assistant,Career,5/9/28
761,hannah.jones608@learners.net,Middle School Diploma,Middle School Diploma,5/12/24
762,isabella.torres609@community.org,Software Engineer I,Career,10/21/26
763,oliver.davis610@studentmail.org,Apprentice Technician,Apprenticeship,2/20/22
764,mia.lee611@studentmail.org,MS in Data Science,Master's Degree,8/26/24
765,james.lewis612@ellarises.org,Internship,Internship,3/26/24
766,abigail.walker613@ellarises.org,AS in Information Systems,Associate's Degree,4/3/27
767,sofia.rodriguez614@community.org,Web Development Certificate,Certificates & Awards,8/3/28
768,emily.davis616@community.org,Competition Award,Certificates & Awards,8/2/23
769,sophia.martin617@studentmail.org,Competition Award,Certificates & Awards,2/1/25
770,nora.white618@studentmail.org,AA in Art & Design,Associate's Degree,6/5/23
771,aurora.smith619@learners.net,Mentorship Program,Career,6/3/25
772,aurora.smith619@learners.net,Customer Support Rep,Career,8/20/23
773,sebastian.wilson620@studentmail.org,Competition Award,Certificates & Awards,8/14/24
774,sebastian.wilson620@studentmail.org,Middle School Diploma,Middle School Diploma,4/19/24
775,aria.johnson621@community.org,MS in Information Systems,Master's Degree,1/8/24
